證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2206","三陽工業","544485","37334260","68.60","68.90","68.30","68.50","-0.6000","687"
"2207","和泰車","419745","254076622","609.00","609.00","602.00","605.00","-17.0000","870"
"2208","台船","1958147","33193179","17.00","17.20","16.75","17.05","-0.2000","1286"
"2211","長榮鋼","675087","63554045","93.20","95.30","92.80","95.30","1.3000","688"
"2227","裕日車","48789","3763477","78.00","78.00","76.00","77.30","-1.5000","144"
"2228","劍麟","395084","39183298","98.50","100.00","97.20","99.10","-0.1000","351"
"2231","為升","1203988","109908454","92.60","93.80","89.60","92.90","-0.1000","1024"
"2233","宇隆","1238253","273762749","213.50","224.50","213.00","222.50","6.0000","1372"
"2236","百達-KY","213508","26119284","120.50","124.00","120.00","123.00","0.0000","280"
"2239","英利-KY","61240","2297259","37.55","38.05","37.00","38.05","0.0000","46"
"2241","艾姆勒","710728","20946815","30.60","30.60","29.15","29.65","-1.0500","480"
"2243","宏旭-KY","153315","2632048","16.90","17.40","16.80","17.25","0.2000","132"
"2247","汎德永業","142608","44437167","309.50","313.00","308.50","312.00","3.0000","504"
"2250","IKKA-KY","1815505","245239590","126.00","141.00","126.00","138.00","9.5000","1820"
"2254","巨鎧精密-創","19186","1344878","69.80","70.50","69.80","70.50","0.5000","198"
"2258","鴻華先進-創","811545","38147914","47.20","47.40","46.75","47.15","-0.8500","556"
"2301","光寶科","12175179","1329848804","108.00","110.00","107.50","109.00","-0.5000","5047"
"2302","麗正","807143","17169850","20.85","21.70","20.30","21.70","0.8000","471"
"2303","聯電","44412629","1929198239","42.95","43.85","42.90","43.60","0.0000","15763"
"2305","全友","376556","5280856","14.10","14.20","13.85","14.15","0.0500","212"
"2308","台達電","20515117","7760387194","385.00","387.00","373.00","377.50","-12.5000","33768"
"2312","金寶","8681702","222390225","25.15","26.20","24.90","26.15","0.5500","3869"
"2313","華通","5182150","335939213","64.20","65.70","63.60","65.60","0.3000","3728"
"2314","台揚","841684","27570819","32.50","33.25","32.10","33.15","0.3000","641"
"2316","楠梓電","892085","40972555","45.70","46.45","45.20","46.45","-0.2500","724"
"2317","鴻海","71127819","12007537766","165.50","172.00","165.00","170.50","0.5000","65668"
"2321","東訊","3028","44921","15.30","15.30","13.90","15.30","0.1000","6"
"2323","中環","4025765","40378218","10.00","10.20","9.83","10.20","0.2300","1380"
"2324","仁寶","21620369","808623801","36.70","37.70","36.55","37.35","0.2000","10886"
"2327","國巨","3250951","1772988199","532.00","553.00","531.00","552.00","12.0000","4145"
"2328","廣宇","75503996","3532117757","44.90","48.50","44.10","47.80","2.4500","41143"
"2329","華泰","2101269","74810472","35.05","36.35","34.70","36.10","0.5000","1684"
"2330","台積電","69307417","69455264475","996.00","1010.00","996.00","1000.00","-20.0000","184223"
"2331","精英","1491692","31990172","21.35","21.90","20.90","21.90","0.4000","867"
"2332","友訊","7943812","161569067","19.80","20.90","19.75","20.50","0.2500","3399"
"2337","旺宏","11962916","250641697","21.05","21.15","20.75","21.10","-0.4000","4881"
"2338","光罩","989787","44159698","44.60","45.40","43.85","45.35","0.4000","829"
"2340","台亞","1556297","41531855","26.55","27.20","26.10","27.05","0.2500","1815"
"2342","茂矽","335066","10052256","30.05","30.30","29.65","30.05","-0.1000","331"
"2344","華邦電","65027097","1193382333","18.30","18.55","18.15","18.55","-0.1500","16887"
"2345","智邦","7663350","5145684346","648.00","682.00","648.00","681.00","25.0000","7684"
"2347","聯強","3626650","249464125","69.60","69.60","68.40","68.40","-1.2000","2917"
"2348","海悅","601933","112617098","185.00","190.50","182.00","190.00","2.5000","1472"
"2348A","海悅甲特","13347","491783","36.85","36.85","36.85","36.85","0.0000","16"
"2349","錸德","3622091","45919122","12.75","12.85","12.50","12.75","-0.0500","1368"
"2351","順德","999450","90935545","89.30","92.20","89.20","92.00","0.4000","834"
"2352","佳世達","5234623","188259604","35.30","36.70","35.10","36.55","0.8500","3275"
"2353","宏碁","8883464","338822368","38.00","38.55","37.75","38.20","-0.2000","5198"
"2354","鴻準","7786835","573414083","73.50","74.70","72.40","74.60","-0.1000","6393"
"2355","敬鵬","11308617","425745694","36.70","38.60","36.25","37.80","0.8000","7545"
"2356","英業達","14030928","658696582","45.95","47.65","45.60","47.50","1.1500","7924"
"2357","華碩","3352707","2232463088","661.00","673.00","657.00","670.00","1.0000","4663"
"2359","所羅門","5730988","892391998","155.00","159.00","152.50","156.00","-2.0000","4436"
"2360","致茂","2322455","754045681","330.00","330.00","318.00","327.50","-2.5000","2429"
"2362","藍天","1332062","64924858","48.60","49.10","48.20","49.05","-0.1000","1023"
"2363","矽統","2775763","173909256","62.50","63.30","61.70","63.10","-0.3000","2331"
"2364","倫飛","248723","22238055","89.00","91.40","87.10","91.10","2.1000","502"
"2365","昆盈","30234915","1455846900","49.00","49.30","47.35","48.00","-1.0000","18564"
"2367","燿華","4089123","118873718","29.00","29.45","28.60","29.40","0.0000","2526"
"2368","金像電","3459130","754437368","215.00","223.00","211.00","222.50","5.5000","3204"
"2369","菱生","3115430","53353008","17.25","17.65","16.65","17.65","-0.1000","1881"
"2371","大同","7897272","330147251","41.85","42.25","41.35","41.90","-0.2500","5044"
"2373","震旦行","8984","588280","65.40","65.50","65.30","65.50","-0.3000","96"
"2374","佳能","9806931","585488270","58.50","62.00","57.40","60.70","1.5000","6330"
"2375","凱美","531152","33873996","63.40","65.00","62.30","64.50","0.2000","469"
"2376","技嘉","3822245","976102377","253.50","260.50","248.00","259.00","0.5000","4394"
"2377","微星","4294222","784984916","182.50","185.50","180.00","184.50","-1.0000","3577"
"2379","瑞昱","4167045","2276320662","545.00","553.00","542.00","548.00","-7.0000","5192"
"2380","虹光","37192","180832","4.89","4.89","4.83","4.87","-0.0200","103"
"2382","廣達","28834123","7346104270","248.00","259.00","246.00","258.50","8.0000","21730"
"2383","台光電","6684173","4067413657","611.00","619.00","604.00","604.00","-22.0000","9119"
"2385","群光","2711880","437990302","161.00","163.50","158.50","161.50","0.5000","1971"
"2387","精元","7852745","564600140","70.50","73.40","69.50","73.40","2.8000","5842"
"2388","威盛","3287662","287561932","86.20","89.50","85.20","89.50","1.3000","2347"
"2390","云辰","200788","2431053","12.10","12.25","12.00","12.20","0.0500","373"
"2392","正崴","1561833","103720238","66.00","67.50","65.50","67.30","0.1000","1406"
"2393","億光","1604077","132029856","82.30","83.10","81.30","82.00","-0.6000","1219"
"2395","研華","1984727","784468229","395.00","398.00","390.00","395.50","-5.0000","2308"
"2397","友通","248846","20080914","78.60","82.20","78.30","82.20","2.2000","306"
"2399","映泰","2952382","73950433","24.80","25.35","24.50","25.10","0.0500","1958"
"2401","凌陽","1779171","49724250","27.75","28.40","27.40","28.30","0.2500","1237"
"2402","毅嘉","3494397","142547916","40.00","41.60","39.50","41.60","1.2500","2697"
"2404","漢唐","5893230","2655378819","439.00","465.00","430.50","457.50","33.5000","8331"
"2405","輔信","2381506","51807251","21.50","22.00","21.35","21.90","0.0500","1394"
"2406","國碩","1397874","20483366","14.65","14.90","14.30","14.90","0.0000","911"
"2408","南亞科","42083559","1567410518","37.40","38.15","36.40","38.10","0.3500","19278"
"2409","友達","26468020","386102107","14.55","14.75","14.35","14.70","-0.1000","6597"
"2412","中華電","8866292","1132495339","128.50","128.50","127.00","127.00","-1.5000","3772"
"2413","環科","135346","3226678","23.70","24.20","23.45","24.15","0.0500","115"
"2414","精技","293437","11163516","37.70","38.70","37.55","38.15","0.4000","306"
"2415","錩新","155370","4619891","29.50","29.95","29.45","29.90","-0.1500","112"
"2417","圓剛","2270087","109908874","48.00","49.20","47.30","48.70","0.3000","1665"
"2419","仲琦","526707","15076396","28.40","29.00","28.20","28.85","0.1000","399"
"2420","新巨","175416","11372018","64.30","65.50","64.00","65.10","0.3000","259"
"2421","建準","1355979","124606633","92.00","93.80","90.10","93.80","0.7000","1221"
"2423","固緯","93864","4117765","43.90","44.15","43.45","44.05","0.0000","72"
"2424","隴華","27714","1656348","59.70","60.00","59.50","60.00","0.3000","51"
"2425","承啟","2412344","90756467","37.05","38.45","36.80","37.25","-0.2500","1894"
"2426","鼎元","1084497","22421461","20.50","21.10","20.20","21.00","0.2500","1058"
"2427","三商電","1154525","31385587","26.70","27.80","26.45","27.40","0.4000","871"
"2428","興勤","248359","40440296","161.00","165.00","160.00","164.00","1.5000","271"
"2429","銘旺科","2477782","94287236","37.60","38.90","37.00","38.15","0.3500","1551"
"2430","燦坤","1427791","46971359","34.00","34.85","31.70","31.95","-1.1000","1745"
"2431","聯昌","503382","7094671","14.20","14.35","13.85","14.30","0.1000","331"
"2432","倚天酷碁-創","41000","1534900","37.10","38.00","37.10","38.00","0.0000","22"
"2433","互盛電","23684","1193682","50.50","50.70","50.30","50.70","0.2000","35"
"2434","統懋","33365","996712","29.95","30.00","29.60","29.70","0.1000","23"
"2436","偉詮電","440316","24133129","54.10","55.70","53.50","55.60","0.6000","445"
"2438","翔耀","239667","8088888","32.25","35.85","32.20","34.20","-0.6000","287"
"2439","美律","8103214","963312411","116.00","121.50","115.50","121.00","5.5000","6646"
"2440","太空梭","102099","1243839","12.20","12.30","12.10","12.30","0.0500","73"
"2441","超豐","510620","32467876","63.10","64.00","62.60","64.00","0.2000","605"
"2442","新美齊","1234636","32951272","26.70","26.95","26.20","26.85","-0.3500","721"
"2444","兆勁","1295279","22537339","16.80","17.85","16.60","17.45","0.5500","742"
"2449","京元電子","13354650","1365585669","100.00","104.00","100.00","104.00","1.5000","9290"
"2450","神腦","94621","3234096","34.20","34.35","34.10","34.25","-0.1000","105"
"2451","創見","548692","47969777","86.00","88.20","85.90","87.80","0.5000","446"
"2453","凌群","1935994","120755057","59.60","63.70","59.60","63.50","2.6000","1697"
"2454","聯發科","8105012","11999861495","1435.00","1510.00","1435.00","1505.00","35.0000","15671"
"2455","全新","2731527","380283233","137.00","142.50","135.00","142.50","3.0000","2366"
"2457","飛宏","930052","31020488","33.30","33.75","32.80","33.65","-0.0500","708"
"2458","義隆","2363270","364346231","153.00","156.50","151.00","155.50","1.5000","1759"
"2459","敦吉","30704","2148106","70.20","70.30","69.60","70.20","0.0000","80"
"2460","建通","137988","3241886","23.30","23.80","23.15","23.80","0.4000","301"
"2461","光群雷","368280","7347323","19.90","20.15","19.75","20.00","0.1000","258"
"2462","良得電","210064","5642624","27.05","27.05","26.70","26.95","-0.1500","189"
"2464","盟立","2616897","197967586","75.00","77.00","74.40","75.60","-0.4000","2791"
"2465","麗臺","657579","46438045","70.10","71.70","69.50","71.30","-2.0000","675"
"2466","冠西電","1710007","126484397","73.00","76.10","71.50","73.90","-2.4000","1258"
"2467","志聖","961469","162434970","166.50","173.50","162.00","173.00","3.0000","1039"
"2468","華經","15410944","557413611","34.00","37.85","34.00","37.85","3.4000","8874"
"2471","資通","2310965","131157406","54.60","58.20","54.10","57.20","1.8000","2016"
"2472","立隆電","1385413","120042660","85.80","88.80","84.70","88.20","0.8000","1427"
"2474","可成","3062452","633789602","206.00","208.50","204.50","208.00","-0.5000","2928"
"2476","鉅祥","2107616","196332156","92.50","93.90","91.60","93.70","0.7000","1943"
"2477","美隆電","814890","22209931","27.35","27.70","26.80","27.45","-0.2500","645"
"2478","大毅","212959","9389841","44.15","44.40","43.75","44.40","0.1000","256"
"2480","敦陽科","832366","136042797","161.00","165.50","160.50","163.50","0.5000","3050"
"2481","強茂","859746","46007250","53.30","54.20","52.60","54.10","0.1000","1168"
"2482","連宇","121539","2925728","23.90","24.25","23.75","24.15","0.1500","196"
"2483","百容","115015","2477723","21.70","21.70","21.50","21.55","-0.1500","63"
"2484","希華","243609","6417047","26.15","26.60","26.10","26.60","0.0500","187"
"2485","兆赫","540539","7980565","14.75","14.90","14.55","14.80","-0.1000","581"
"2486","一詮","4405931","445869358","100.50","103.00","99.30","101.50","-0.5000","2745"
"2488","漢平","417490","22917594","54.70","55.70","54.10","55.50","0.6000","440"
"2489","瑞軒","2124428","40203675","18.80","19.15","18.55","19.10","0.2000","1271"
"2491","吉祥全","16144","222544","13.85","13.85","13.50","13.50","-0.3500","12"
"2492","華新科","874174","82401747","93.20","95.70","92.60","95.60","0.9000","990"
"2493","揚博","479435","43954834","90.00","93.60","90.00","93.00","-0.6000","509"
"2495","普安","1975763","56849535","28.50","29.40","28.10","29.40","-0.1000","1171"
"2496","卓越","29155","2598762","89.00","89.80","88.50","89.70","0.9000","33"
"2497","怡利電","319913","18565717","57.40","59.10","56.80","58.60","0.4000","360"
"2498","宏達電","7504696","329049120","43.75","44.70","43.05","44.50","-0.2000","5285"
"2501","國建","672794","16521820","24.55","24.75","24.35","24.75","-0.1000","432"
"2504","國產","3290919","144650974","43.65","44.35","43.30","44.15","0.3500","1883"
"2505","國揚","114501","2462436","21.60","21.85","21.30","21.85","0.3500","85"
"2506","太設","269570","3148873","11.70","11.75","11.65","11.70","0.0500","164"
"2509","全坤建","121586","2005010","16.55","16.75","16.30","16.60","0.0500","135"
"2511","太子","1062677","10941307","10.35","10.40","10.20","10.35","-0.1000","433"
"2514","龍邦","281914","5951865","20.95","21.40","20.80","21.40","0.3000","187"
"2515","中工","7795258","90449123","11.55","11.70","11.50","11.65","0.0500","1845"
"2516","新建","2475871","60487915","24.50","25.00","23.90","24.80","0.1500","1369"
"2520","冠德","3564596","201557419","55.80","57.50","55.40","57.30","0.9000","2671"
"2524","京城","213849","13370091","62.60","63.20","61.60","63.20","-0.1000","271"
"2527","宏璟","211163","7661778","36.20","36.95","35.65","36.95","0.3000","240"
"2528","皇普","1810928","86729379","49.15","49.15","46.00","47.90","-1.4500","1247"
"2530","華建","1017733","41745105","42.60","42.60","40.40","41.20","-1.4000","916"
"2534","宏盛","617143","15468692","25.00","25.35","24.75","25.25","0.0500","567"
"2535","達欣工","405057","23668644","58.90","58.90","57.90","58.90","-0.2000","607"
"2536","宏普","92070","2877479","31.20","31.45","30.90","31.45","0.0500","83"
"2537","聯上發","1039374","13905799","13.50","13.60","13.15","13.55","0.1500","549"
"2538","基泰","344103","5049691","14.65","14.75","14.55","14.70","-0.0500","171"
"2539","櫻花建","296421","15882272","53.60","54.00","53.20","54.00","0.1000","348"
"2540","愛山林","486830","44842619","92.50","92.80","91.30","92.50","-1.0000","651"
"2542","興富發","3141264","138683931","44.35","44.55","43.80","44.55","-0.2000","2480"
"2543","皇昌","20126068","2001996925","98.50","104.00","94.60","102.50","2.0000","10925"
"2545","皇翔","600107","43580984","72.50","73.90","71.30","73.90","1.2000","720"
"2546","根基","155879","12894682","84.60","84.60","82.20","83.00","-1.6000","450"
"2547","日勝生","2571925","28170694","11.00","11.05","10.80","11.00","0.0000","735"
"2548","華固","1038947","119911948","115.50","116.00","114.00","115.00","0.0000","846"
"2597","潤弘","429463","74856247","175.00","178.00","171.50","178.00","1.5000","2385"
"2601","益航","3637543","28855425","7.79","8.08","7.79","7.97","0.0500","1578"
"2603","長榮","8109642","1758834673","216.00","219.00","214.00","219.00","1.0000","7379"
"2605","新興","8758686","241017886","27.00","28.00","26.70","27.80","0.8000","4731"
"2606","裕民","32968297","2406254215","71.40","75.20","70.30","75.20","3.8000","22532"
"2607","榮運","763944","23077187","30.15","30.45","30.00","30.45","0.1000","374"
"2608","嘉里大榮","118988","4573241","38.65","38.65","38.20","38.55","-0.2500","140"
"2609","陽明","14602892","1053172969","72.00","72.80","71.30","72.60","0.0000","11778"
"2610","華航","18587743","438730178","23.35","23.85","23.25","23.80","0.3500","5904"
"2611","志信","357148","8288417","23.30","23.40","22.90","23.40","0.1000","241"
"2612","中航","1056104","50238215","47.45","48.20","46.40","47.85","0.5500","793"
"2613","中櫃","476264","15921529","33.50","33.90","33.00","33.65","-0.1000","469"
"2614","東森","279087","4724189","17.05","17.10","16.80","17.00","-0.0500","412"
"2615","萬海","7334207","617393750","84.30","85.40","83.00","84.60","-0.4000","6135"
"2616","山隆","160087","2834732","17.70","17.80","17.65","17.70","0.0000","371"
"2617","台航","1278361","41516271","32.20","32.90","31.80","32.90","0.6000","892"
"2618","長榮航","32456951","1417412896","43.10","44.05","42.85","44.05","0.8000","12423"
"2630","亞航","476968","17104570","35.80","36.30","35.20","36.30","0.4000","465"
"2633","台灣高鐵","5050359","139739512","27.60","27.85","27.45","27.65","-0.1500","2217"
"2634","漢翔","2253124","97187593","43.05","43.50","42.75","43.45","0.0000","1985"
"2636","台驊控股","388099","30912926","79.20","80.40","78.50","80.30","0.7000","476"
"2637","慧洋-KY","43768737","3634234471","80.00","87.00","78.60","86.50","6.5000","26118"
"2642","宅配通","51363","1741437","33.90","33.95","33.80","33.95","-0.4500","202"
"2645","長榮航太","467978","48814114","104.00","105.00","103.50","105.00","0.0000","500"
"2646","星宇航空","7272219","203550998","27.90","28.20","27.70","27.95","0.0500","3615"
"2701","萬企","33682","424045","12.55","12.60","12.55","12.60","0.0500","29"
"2702","華園","46314","767207","16.60","16.60","16.50","16.60","0.0000","83"
"2704","國賓","55592","3081630","55.30","56.00","55.10","56.00","0.6000","99"
"2705","六福","149147","2677943","17.90","18.00","17.75","18.00","0.0500","243"
"2706","第一店","76048","1126925","14.80","14.90","14.75","14.80","-0.1000","110"
"2707","晶華","190393","37889145","198.50","200.00","197.00","200.00","3.0000","326"
"2712","遠雄來","2000","49650","24.90","24.90","24.75","24.75","-0.1500","2"
"2722","夏都","94122","3166841","33.40","34.20","33.20","34.05","0.0500","88"
"2723","美食-KY","827609","85751206","102.00","105.00","100.50","105.00","2.5000","717"
"2727","王品","1155463","277031097","235.50","242.50","235.00","241.00","5.5000","2854"
"2731","雄獅","839988","113270780","135.00","136.00","133.00","135.50","0.5000","1447"
"2739","寒舍","134721","6982770","51.50","52.50","51.20","52.20","0.2000","110"
"2748","雲品","269876","16649819","61.50","62.50","60.40","62.40","0.8000","320"
"2753","八方雲集","190437","30824391","162.00","163.00","160.50","163.00","1.0000","234"
"2762","世界健身-KY","184773","17469394","94.70","96.50","93.20","93.50","-0.3000","433"
"2801","彰銀","25335270","455768659","18.00","18.05","17.95","18.00","-0.1000","4944"
"2809","京城銀","3257772","164902647","50.50","50.90","50.40","50.80","0.1000","1380"
"2812","台中銀","25266644","507994449","19.85","20.35","19.75","20.35","0.4000","8951"
"2816","旺旺保","197955","6649439","33.30","33.95","33.30","33.80","-0.2000","229"
"2820","華票","546554","8296928","15.15","15.20","15.15","15.20","0.0000","309"
"2832","台產","352430","10657610","30.10","30.45","29.95","30.40","0.2500","263"
"2834","臺企銀","19756808","305793390","15.55","15.55","15.40","15.45","-0.2000","5527"
"2836","高雄銀","1523190","17813816","11.65","11.75","11.65","11.75","0.0000","471"
"2836A","高雄銀甲特","2000","45500","22.75","22.75","22.75","22.75","0.1000","1"
"2838","聯邦銀","3654812","58452464","15.85","16.20","15.75","16.20","0.3000","953"
"2838A","聯邦銀甲特","7000","376100","53.70","53.80","53.70","53.80","0.0000","7"
"2845","遠東銀","8050840","112689239","13.90","14.10","13.90","14.05","0.0000","1952"
"2849","安泰銀","91069","1303233","14.45","14.45","14.25","14.30","-0.1000","57"
"2850","新產","213426","21334663","100.00","100.50","99.20","100.00","-0.5000","286"
"2851","中再保","772813","21005408","27.10","27.30","27.05","27.20","-0.0500","488"
"2852","第一保","488676","13275529","27.30","27.45","26.90","27.45","0.3500","287"
"2855","統一證","3510565","97044507","27.40","27.85","27.30","27.75","0.1500","1456"
"2867","三商壽","9233287","63058573","6.87","6.90","6.79","6.90","-0.0300","2216"
"2880","華南金","12127635","335636771","27.65","27.95","27.60","27.60","-0.4000","5048"
"2881","富邦金","21915066","2001136993","91.50","91.90","90.80","91.20","-1.6000","12904"
"2881A","富邦特","37533","2381800","63.40","63.50","63.40","63.50","0.0000","14"
"2881B","富邦金乙特","57297","3515192","61.30","61.50","61.30","61.50","0.1000","17"
"2881C","富邦金丙特","49259","2605021","52.90","53.00","52.80","53.00","0.0000","64"
"2882","國泰金","22314004","1508145982","67.80","68.20","66.70","67.70","-1.1000","25969"
"2882A","國泰特","187890","11526153","61.30","61.40","61.30","61.30","-0.1000","38"
"2882B","國泰金乙特","39654","2421601","60.80","61.10","60.80","61.10","0.0000","21"
"2883","凱基金","49529669","898075772","18.10","18.30","17.90","18.20","-0.1000","7686"
"2883B","凱基金乙特","1029341","8234410","8.02","8.02","7.99","8.02","0.0000","268"
"2884","玉山金","24478278","715309515","29.00","29.40","28.95","29.25","-0.2000","8962"
"2885","元大金","31596906","1143887697","36.15","36.45","36.10","36.25","-0.4500","11541"
"2886","兆豐金","22337503","889175694","39.75","40.00","39.60","39.70","-0.4500","10777"
"2887","台新金","27090323","471858511","17.40","17.50","17.35","17.40","-0.1000","6910"
"2887E","台新戊特","90501","4684238","51.60","51.80","51.60","51.80","-0.1000","21"
"2887F","台新戊特二","10225","482546","47.30","47.30","47.15","47.15","0.0000","11"
"2887Z1","台新己特","10262","165719","16.15","16.15","16.15","16.15","0.0000","9"
"2888","新光金","32948625","408453926","12.40","12.45","12.35","12.40","-0.1000","4238"
"2888A","新光金甲特","39062","1484837","38.00","38.25","38.00","38.10","-0.1000","31"
"2888B","新光金乙特","555582","20941252","38.00","38.25","37.50","37.95","-0.0500","118"
"2889","國票金","4728442","66599073","14.05","14.20","14.00","14.05","-0.1000","1905"
"2890","永豐金","31881936","731772000","22.85","23.10","22.85","22.90","-0.1500","8628"
"2891","中信金","55506103","2270795151","40.55","41.20","40.55","41.00","-0.0500","14781"
"2891B","中信金乙特","31006","1953147","63.00","63.00","63.00","63.00","0.1000","20"
"2891C","中信金丙特","3274","192296","58.80","58.80","58.70","58.80","0.1000","18"
"2892","第一金","20150971","559164945","27.65","27.85","27.60","27.70","-0.1000","5402"
"2897","王道銀行","4498324","44891788","9.96","10.05","9.94","10.00","0.0100","928"
"2897B","王道銀乙特","58744","704920","12.00","12.00","12.00","12.00","0.0000","23"
"2901","欣欣","1123","30584","","","","","0.0000","29"
"2903","遠百","2972358","71664670","24.00","24.35","23.90","24.30","0.0000","1302"
"2904","匯僑","10570","191030","18.00","18.10","18.00","18.10","0.1000","17"
"2905","三商","1027395","16022430","15.75","15.75","15.40","15.70","-0.1500","492"
"2906","高林","140163","2441232","17.30","17.55","17.30","17.45","0.0000","216"
"2908","特力","568688","11742415","20.70","20.75","20.55","20.75","0.0500","118"
"2910","統領","16081","377794","23.50","23.50","23.35","23.35","-0.1500","9"
"2911","麗嬰房","83201","668645","8.20","8.20","7.98","8.05","-0.1400","321"
"2912","統一超","1949828","512536391","263.00","264.00","262.00","263.00","-2.0000","2557"
"2913","農林","772637","14863208","19.25","19.35","19.05","19.30","-0.1500","535"
"2915","潤泰全","2599112","177236015","68.80","68.80","67.80","68.30","-0.7000","1747"
"2923","鼎固-KY","27734","678181","24.15","24.85","24.15","24.80","-0.1000","142"
"2929","淘帝-KY","424442","5418104","12.80","12.95","12.60","12.85","-0.1000","286"
"2939","永邑-KY","73110","2338291","31.60","32.35","31.60","32.35","0.1500","49"
"2945","三商家購","12576","512596","40.70","40.85","40.70","40.85","0.0500","19"
"3002","歐格","18321","271446","14.90","14.90","14.75","14.75","-0.1500","55"
"3003","健和興","525452","36443754","69.00","70.10","68.40","69.90","0.2000","527"
"3004","豐達科","106304","10809501","100.50","102.50","100.00","102.00","1.0000","123"
"3005","神基","2084777","256135717","122.00","124.00","120.00","123.50","0.0000","2011"
"3006","晶豪科","1561619","101102540","65.00","65.70","63.80","65.70","-0.2000","1270"
"3008","大立光","814782","2196483780","2670.00","2730.00","2650.00","2710.00","-5.0000","3257"
"3010","華立","395948","44769703","112.00","114.50","111.00","113.50","0.5000","647"
"3011","今皓","386975","6982085","18.00","18.40","17.75","18.15","-0.0500","346"
"3013","晟銘電","6432740","865892679","130.50","139.00","129.00","137.00","3.5000","5114"
"3014","聯陽","782722","120403437","152.00","155.50","150.50","155.00","2.0000","1064"
"3015","全漢","5011288","350362351","67.60","70.80","67.30","70.70","2.2000","4003"
"3016","嘉晶","490562","20526276","41.50","42.45","40.90","42.40","0.4500","415"
"3017","奇鋐","7628957","3989250173","506.00","537.00","500.00","534.00","15.0000","8986"
"3018","隆銘綠能","22539","605111","27.00","27.00","26.80","26.85","-0.1500","341"
"3019","亞光","21798707","4228031011","191.00","198.00","188.50","193.50","-1.0000","18445"
"3021","鴻名","301426","7247773","24.20","24.40","23.60","24.30","0.2000","243"
"3022","威強電","32724445","3694564748","106.00","117.50","105.00","117.50","10.5000","18636"
"3023","信邦","2160322","641661565","299.00","301.00","294.50","297.50","-2.5000","3480"
"3024","憶聲","1188582","21517053","18.00","18.30","17.75","18.30","0.1500","459"
"3025","星通","440215","29652261","66.70","68.40","66.30","68.20","0.7000","432"
"3026","禾伸堂","722383","64177397","88.00","89.60","87.60","89.50","0.9000","960"
"3027","盛達","162980","4859237","29.85","30.05","29.35","30.05","0.2000","189"
"3028","增你強","777857","25488426","32.65","33.00","32.50","32.90","0.2500","776"
"3029","零壹","6507391","941529321","139.50","147.50","138.00","146.50","5.0000","5929"
"3030","德律","1769150","224016442","128.00","128.00","125.50","127.00","0.0000","1347"
"3031","佰鴻","490926","11256684","22.80","23.15","22.35","23.15","0.2000","295"
"3032","偉訓","4197520","400700906","94.80","98.30","91.00","98.00","2.2000","3786"
"3033","威健","955757","33407130","34.70","35.20","34.50","35.20","0.0500","781"
"3034","聯詠","3326128","1790887559","538.00","543.00","534.00","540.00","-7.0000","4147"
"3035","智原","5735580","1368347164","234.50","245.00","231.50","245.00","7.0000","5548"
"3036","文曄","3961310","426492938","106.50","109.50","106.50","106.50","-1.5000","2876"
"3036A","文曄甲特","81004","4084100","50.40","50.50","50.40","50.50","0.0000","33"
"3037","欣興","27221360","3063276975","111.50","114.00","110.50","113.50","-0.5000","16347"
"3038","全台","543372","15757676","29.00","29.20","28.80","28.85","-0.3000","457"
"3040","遠見","228053","11845633","52.00","52.30","51.50","52.00","0.0000","208"
"3041","揚智","1278196","42084569","32.05","33.60","31.90","33.25","0.6000","1241"
"3042","晶技","818857","82979286","100.50","102.00","100.00","101.50","0.5000","708"
"3043","科風","172683","5912651","33.90","34.75","33.60","34.35","-0.1500","284"
"3044","健鼎","3381361","714664086","208.50","215.00","208.00","210.00","-1.0000","12060"
"3045","台灣大","6725533","775235204","115.50","116.00","114.50","115.00","-1.5000","3332"
"3046","建碁","78328","4102862","51.80","52.90","51.70","52.60","0.0000","98"
"3047","訊舟","1754051","49441831","28.20","28.75","27.50","28.60","0.1000","1305"
"3048","益登","534892","15432154","29.00","29.50","28.30","29.50","0.2000","562"
"3049","精金","956813","8244359","8.65","8.66","8.55","8.65","-0.0500","635"
"3050","鈺德","756984","12860906","16.85","17.30","16.60","17.30","0.3500","487"
"3051","力特","661414","19248677","29.20","29.60","28.35","29.45","0.0000","477"
"3052","夆典","229576","2711083","11.80","11.85","11.75","11.85","0.0000","183"
"3054","立萬利","9000","197950","21.80","22.15","21.80","22.15","-0.1500","9"
"3055","蔚華科","818257","61317758","73.00","78.40","71.60","75.00","0.4000","2290"
"3056","富華新","2915274","104845201","35.60","36.35","35.20","36.30","0.5000","1652"
"3057","喬鼎","89520","1063312","11.75","11.95","11.75","11.90","0.1000","151"
"3058","立德","253193","3958436","15.80","15.80","15.40","15.75","-0.1500","261"
"3059","華晶科","28995029","1379622437","46.30","49.30","46.05","47.35","0.2000","19630"
"3060","銘異","546021","12867183","23.95","23.95","23.10","23.65","-0.2000","480"
"3062","建漢","1945453","59916787","30.50","31.45","30.10","31.35","0.4500","1359"
"3090","日電貿","826606","57509804","69.20","70.60","68.60","70.40","0.4000","871"
"3092","鴻碩","68638","1872811","27.00","27.60","27.00","27.50","0.1000","210"
"3094","聯傑","194505","5876351","29.55","30.60","29.50","30.40","0.4000","305"
